Time (sec), PosCmd (X) (mm), PosCmd (Z) (mm), PosCmd (msShut_ext) (deg), PosFbk (X) (mm), PosFbk (Z) (mm), PosFbk (msShut_ext) (deg), PosErr (X) (mm), PosErr (Z) (mm), PosErr (msShut_ext) (deg), VelCmd (X) (mm/msec), VelCmd (Z) (mm/msec), VelCmd (msShut_ext) (deg/msec), VelFbk (X) (mm/msec), VelFbk (Z) (mm/msec), VelFbk (msShut_ext) (deg/msec), VelErr (X) (mm/msec), VelErr (Z) (mm/msec), VelErr (msShut_ext) (deg/msec), CurCmd (X), CurCmd (Z), CurCmd (msShut_ext), CurFbk (X), CurFbk (Z), CurFbk (msShut_ext), CurErr (X), CurErr (Z), CurErr (msShut_ext), Ain 1 (X), Program Counter (T01)
0.027, -0.061, -0.468941512546232, 49.0050000000015, -0.06, -0.482, 49.0050000000015, -0.001, 0.0130584874537682, 0, 0, 0.46591837053543, 0, 0, 0.471, -0.0450000000000013, 0, -0.00508162946457014, 0.0450000000000013, 0.0943553075194359, 0.0760040804743767, -0.0158904138952494, 0.0793123543262482, 0.447704553604126, 0.0350063256919384, 0.0150429531931877, -0.371700473129749, -0.0508967395871878, -0.115056350827217, 3082
0.028, -0.061, -0.0008316390819909, 49.0050000000015, -0.061, -0.006, 49.0050000000015, 0, 0.0051683609180091, 0, 0, 0.468109873464241, 0, -0.001, 0.476, 0, 0.001, -0.00789012653575908, 0, -0.00951956491917372, -0.293409109115601, -0.0149240363389254, 0.083407424390316, 0.00409180531278253, -0.0120985228568316, -0.0929269893094897, -0.297500914428383, -0.00282551348209381, -0.0234072264283895, 3082
0.029, -0.061, 0.468769417887173, 49.0050000000015, -0.061, 0.469, 49.0050000000015, 0, -0.000230582112827335, 0, 0, 0.469601056969164, 0, 0, 0.475, 0, 0, -0.00539894303083647, 0, 0.0769377648830414, -0.294434487819672, -0.0158848538994789, 0.0607016980648041, -0.108301043510437, -0.0233387611806393, 0.0162360668182373, -0.186133444309235, 0.00745390728116035, 0.00916700065135956, 3082
0.03, -0.061, 0.939161338937374, 49.0050000000015, -0.061, 0.94, 49.0050000000015, 0, -0.000838661062626443, 0, 0, 0.470391921050201, 0, 0, 0.471, 0, 0, -0.000608078949799121, 0, 0.0927878841757774, -0.133417814970016, -0.0159018635749817, 0.0692731738090515, -0.178259089589119, -0.000142940873047337, 0.0235147103667259, 0.0448412746191025, -0.0157589227019344, 0.0082660922780633, 3255
0.031, -0.061, 1.40964380464471, 49.0050000000015, -0.06, 1.408, 49.0050000000015, -0.001, 0.00164380464471378, 0, 0, 0.47048246570734, 0, 0.001, 0.468, 0, -0.001, 0.00248246570734022, 0, 0.185884073376656, 0.0909597277641296, -0.0159010030329227, 0.11654257029295, -0.0482498705387115, -0.0113831786438823, 0.0693415030837059, 0.139209598302841, -0.00451782438904047, 0.00447723129764199, 3255
0.032, -0.061, 1.87951649558531, 49.0050000000015, -0.061, 1.873, 49.0050000000015, 0, 0.00651649558530676, 0, 0, 0.469872690940593, 0, -0.001, 0.465, 0, 0.001, 0.00487269094059296, 0, 0.0553940944373608, 0.350642383098602, -0.0159009713679552, 0.12312950193882, 0.0276079885661602, -0.0113831786438823, -0.0677354075014591, 0.323034394532442, -0.00451779272407293, 0.00417029531672597, 3255
0.033, -0.061, 2.34807909233526, 49.0050000000015, -0.061, 2.338, 49.0500000000015, 0, 0.0100790923352629, -0.0450000000000013, 0, 0.468562596749956, 0, 0, 0.465, 0.0450000000000013, 0, 0.00356259674995614, -0.0450000000000013, 0.046025212854147, 0.402080535888672, -0.0886468440294266, 0.0631327852606773, 0.320761263370514, -0.0697108581662178, -0.0171075724065304, 0.081319272518158, -0.0189359858632088, 0.00373304774984717, 3255
0.034, -0.061, 2.81463127547069, 49.0050000000015, -0.061, 2.805, 49.0050000000015, 0, 0.00963127547069234, 0, 0, 0.466552183135429, 0, 0, 0.467, -0.0450000000000013, 0, -0.000447816864570545, 0.0450000000000013, 0.0959322452545166, 0.208323031663895, 0.0191693305969238, 0.0692731738090515, 0.32013338804245, -0.0346166342496872, 0.0266590714454651, -0.111810356378555, 0.053785964846611, 0.00379699771292508, 3255
0.035, -0.061, 3.2784727255677, 49.0050000000015, -0.061, 3.273, 49.0050000000015, 0, 0.00547272556770486, 0, 0, 0.463841450097013, 0, 0, 0.468, 0, 0, -0.00415854990298749, 0, 0.0892056375741959, -0.256557822227478, -0.0283015985041857, 0.0766283348202705, 0.0341146811842918, -0.000142940873047337, 0.0125773027539253, -0.29067250341177, -0.0281586576311383, 0.00423467252403498, 3255
0.036, -0.061, 3.73890312320241, 49.0050000000015, -0.061, 3.739, 49.0050000000015, 0, -9.68767975909941E-05, 0, 0, 0.460430397634704, 0, 0, 0.466, 0, 0, -0.00556960236529587, 0, 0.0895833820104599, -0.554859340190887, -0.0164337456226349, 0.0837918967008591, -0.104278177022934, -0.0233387611806393, 0.00579148530960083, -0.450581163167953, 0.00690501555800438, 0.00410157302394509, 3255
