T_sync[ms], msShut_Enable, PumpA_Enable, N_Mode, N_Delay, Zpos, AIN_Volt, PCMD_Z, Tcorr_sum[us]
76315,0,1,10,10,0.999,1.256,0.847,-5
76584,0,1,10,10,1.004,1.659,0.927,-1
76853,0,1,10,10,1.003,2.028,1.007,2
77122,0,1,10,10,0.994,2.373,1.086,-4
77391,0,1,10,10,0.997,2.653,1.167,-7
77660,0,1,10,10,1.005,2.899,1.250,-2
77928,0,1,10,10,1.001,1.316,0.859,-1
78197,0,1,10,10,1.003,1.718,0.938,2
78466,0,1,10,10,0.998,2.092,1.018,-0
78735,0,1,10,10,0.995,2.415,1.098,-5
79004,0,1,10,10,0.996,2.702,1.180,-9
79273,0,1,10,10,1.009,2.927,1.263,1
79541,0,1,10,10,1.001,1.387,0.872,1
79810,0,1,10,10,1.002,1.779,0.950,3
80079,0,1,10,10,0.997,2.144,1.029,-0
80348,0,1,10,10,0.993,2.467,1.110,-7
80617,0,1,10,10,0.999,2.735,1.193,-8
80885,0,1,10,10,0.990,1.045,0.805,-18
81154,0,1,10,10,1.008,1.441,0.888,-10
81423,0,1,10,10,1.007,1.844,0.969,-3
81692,0,1,10,10,1.001,2.196,1.046,-2
81961,0,1,10,10,0.996,2.511,1.125,-7
82230,0,1,10,10,0.998,2.780,1.206,-9
82498,0,1,10,10,0.995,1.097,0.818,-14
82767,0,1,10,10,1.005,1.516,0.900,-8
83036,0,1,10,10,1.007,1.892,0.980,-1
83305,0,1,10,10,0.998,2.253,1.058,-3
83574,0,1,10,10,0.994,2.560,1.137,-10
83843,0,1,10,10,1.002,2.812,1.220,-8
84111,0,1,10,10,0.996,1.173,0.831,-12
84380,0,1,10,10,1.007,1.567,0.912,-4
84649,0,1,10,10,1.002,1.963,0.991,-2
84918,0,1,10,10,0.997,2.301,1.070,-5
85187,0,1,10,10,0.996,2.601,1.150,-10
85456,0,1,10,10,1.002,2.852,1.233,-7
85724,0,1,10,10,0.999,1.228,0.843,-8
85993,0,1,10,10,1.004,1.642,0.923,-4
86262,0,1,10,10,1.003,2.008,1.003,-0
86531,0,1,10,10,0.995,2.354,1.082,-5
86800,0,1,10,10,0.995,2.643,1.163,-10
87069,0,1,10,10,1.005,2.885,1.245,-5
87337,0,1,10,10,0.999,1.301,0.855,-6
87606,0,1,10,10,1.005,1.693,0.935,-1
87875,0,1,10,10,0.999,2.073,1.014,-2
88144,0,1,10,10,0.996,2.397,1.094,-6
88413,0,1,10,10,0.995,2.689,1.176,-11
